OBJECTID,Sign_Type,Size_,Supplement,Sign_Post,Year_Insta,Category,Notes,MUTCD,Ownership,FACILITYID,Schools,Location_Adjusted,Replacement_Zone,Sign_Text,Set_ID,FieldVerifiedDate,GlobalID,Latitude,Longitude
9634,Streetname - Vertical,"6"" X 30""",Not Specified,Streetlight,,Streetname,Not Specified,N/A,Champaign,10457,Not Specified,AERIAL,I,Bash Ct,7352,Not Specified,{5CDDCAAB-F8F2-4AE3-9B20-5A39028235BE},40.111995015643295,-88.23213833665139
9635,Streetname - Internally Illuminated,"18"" X 72""",Not Specified,Traffic Signal Mast Arm,,Streetname,Not Specified,D3-1,Champaign,10458,Not Specified,AERIAL,I,Fourth St,7353,Not Specified,{6301FB3B-5069-4780-9FE7-417F8BB277B3},40.11020145042791,-88.2333983916827
9636,Streetname - Campustown,"6"" X 30""",Not Specified,Streetlight,,Streetname,Streetname - Campustown ,N/A,Champaign,10459,Not Specified,AERIAL,I,S Fifth St,7354,Not Specified,{00EE1AF6-5376-4350-9394-9113BA03C62F},40.1102170364779,-88.23218841671705
9637,Streetname - Campustown,"6"" X 30""",Not Specified,Streetlight,2014-01-01,Streetname,Streetname - Campustown ,N/A,Champaign,10460,Not Specified,AERIAL,I,Fifth St,7355,Not Specified,{2955EFD7-259E-4104-B956-C1FA215961EF},40.10912606640137,-88.23215599618835
9638,Streetname - Vertical,"6"" X 30""",Not Specified,Streetlight,,Streetname,Not Specified,N/A,Champaign,10461,Not Specified,AERIAL,I,E Daniel St,7356,Not Specified,{3E1B7411-7F5A-42EB-991D-7471A2EBE37E},40.10803531111624,-88.23213257384161
9639,Streetname - Internally Illuminated,"18"" X 36""",Not Specified,Traffic Signal Mast Arm,,Streetname,Not Specified,D3-1,Champaign,10462,Not Specified,AERIAL,I,E Daniel St,7357,Not Specified,{764B7BFF-1CCB-4315-9C57-13F23AA112C1},40.10806070550417,-88.2334235074577
9640,Stop,"30""",Not Specified,Punched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10463,Not Specified,AERIAL,K,Not Specified,7358,Not Specified,{542C8A59-6C79-486A-BA95-B816347F4891},40.11432732649152,-88.24364717113177
9641,Stop,"30""",Not Specified,Punched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10464,Not Specified,AERIAL,K,Not Specified,7359,Not Specified,{86F3D23F-8C4E-4A01-9C91-265121C694D0},40.11409581212259,-88.24338261835436
9642,Stop,"30""",Not Specified,Punched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10465,Not Specified,AERIAL,K,Not Specified,7177,Not Specified,{3882A064-20C7-4C08-A7BD-56B0A2B9624B},40.11471731165437,-88.24319860720428
9643,Stop,"30""",Not Specified,Unpunched Telespar,2013-01-01,Regulatory,Not Specified,R1-1,Champaign,10467,Not Specified,AERIAL,K,Not Specified,7178,Not Specified,{88C68C5D-EB36-4FAE-BD0D-47F359D1EE59},40.11588268001769,-88.24274724508189
9644,Stop,"30""",Not Specified,Unpunched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10468,Not Specified,AERIAL,K,Not Specified,7266,Not Specified,{567160E8-FC4E-4882-A64C-558FD2A78C86},40.115952670697546,-88.24270293840047
9645,Stop,"30""",4-Way,Punched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10469,Not Specified,GPS,J,Not Specified,6890,Not Specified,{B4B83FE6-FAD0-4740-9439-4DD7A58EA719},40.115782663359894,-88.23971249202626
9646,Stop,"30""",4-Way,Punched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10470,Not Specified,GPS,J,Not Specified,7032,Not Specified,{2DD2C523-CED7-4224-AE66-AFD77CB99653},40.11571160834564,-88.23958301603653
9647,Stop,"30""",4-Way,Punched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10471,Not Specified,GPS,J,Not Specified,7360,Not Specified,{EF45C4FE-D0DD-43BF-A95C-C71DF951E3FA},40.115851070349315,-88.23944666411053
9648,Stop,"30""",Not Specified,Punched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10472,Not Specified,AERIAL,J,Not Specified,7361,Not Specified,{469706B8-2527-449D-9DCA-FD57A3A8BE2A},40.116232597397484,-88.23936459263894
9649,Stop,"30""",4-Way,Unpunched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10473,Not Specified,GPS,J,Not Specified,7362,Not Specified,{06131752-99B5-4D08-8809-1BA5A1726E42},40.11591827629065,-88.23960290065239
9650,Stop,"30""",Not Specified,Punched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10474,Not Specified,GPS,J,Not Specified,7363,Not Specified,{F7BF9443-DF10-45B9-A224-FE1D5A906694},40.11467343967279,-88.2401566766472
9651,Stop,"30""",Not Specified,Punched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10475,Not Specified,GPS,J,Not Specified,7364,Not Specified,{B9C60FEC-2B2A-4F0F-9C04-171F10DF54D6},40.11449553705815,-88.24007330549065
9652,Stop,"30""",Not Specified,Punched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10476,Not Specified,AERIAL,J,Not Specified,7365,Not Specified,{78C4AE21-98A8-46AA-BAE6-99F867FD8674},40.11448800794237,-88.23941361141935
9653,Stop,"30""",Not Specified,Punched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10477,Not Specified,AERIAL,J,Not Specified,7038,Not Specified,{C7B945C7-E09B-4AD1-BB6B-CA1D99231C74},40.114271749846424,-88.23937569389264
9654,Stop,"30""",Not Specified,Punched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10479,Not Specified,AERIAL,K,Not Specified,7366,Not Specified,{92393B5C-10D2-47E8-81D7-99B012F0CBA0},40.115028406753666,-88.24231706657446
9655,Stop,"30""",Not Specified,U-Channel,,Regulatory,Not Specified,R1-1,Champaign,10480,Not Specified,GPS,I,Not Specified,7367,Not Specified,{528C85FE-94F1-41DA-A7A9-C56729436CDA},40.1127123853017,-88.24096394131634
9656,Stop,"30""",Not Specified,Unpunched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10481,Not Specified,AERIAL,J,Not Specified,7368,Not Specified,{56E10A3B-D600-4F9C-BCFF-43121AFFDDD6},40.11317111453847,-88.24002972951666
9657,Stop,"30""",Not Specified,Punched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10482,Not Specified,AERIAL,I,Not Specified,7369,Not Specified,{CEFD6209-2435-48C8-A59C-2B88CCCC8CB3},40.112707232809825,-88.2401577247252
9658,Stop,"30""",Not Specified,Punched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10483,Not Specified,AERIAL,J,Not Specified,7370,Not Specified,{E2C04BE9-895D-4BD8-AE69-FAA041E2B0FD},40.11319371540761,-88.23973689117273
9659,Stop,"30""",Not Specified,Punched Telespar,,Regulatory,Not Specified,R1-1,Champaign,10484,Not Specified,AERIAL,K,Not Specified,7177,Not Specified,{C87F7A39-0AF7-4AB3-9DDD-B6F393FDFE0C},40.11471731165437,-88.24319860720428
9660,Streetname - Downtown,"8"" X 36""",Not Specified,Streetlight,,Streetname,Not Specified,N/A,Champaign,10486,Not Specified,AERIAL,K,200 S Neil St,6974,Not Specified,{58313789-450E-4790-ACDD-F0E8F7A6251F},40.114876507936444,-88.2434130847876
9661,Streetname,"8"" X 36""",Not Specified,Punched Telespar,,Streetname,Not Specified,D3-1,Champaign,10488,Not Specified,AERIAL,K,W White St,7358,Not Specified,{ED1AA5E4-2E5E-47F9-A69D-F628892992CD},40.11432732649152,-88.24364717113177
9662,Streetname,"24"" X 48""",Not Specified,Traffic Signal Mast Arm,,Streetname,Not Specified,D3-1,Champaign,10489,Not Specified,AERIAL,G,Springfield Avenue,7371,Not Specified,{0FB1701A-F65A-452D-87C5-54792D2BF0B6},40.11241550909726,-88.24362846752062
9663,Streetname,"24"" X 48""",Not Specified,Traffic Signal Mast Arm,,Streetname,Not Specified,D3-1,Champaign,10490,Not Specified,AERIAL,G,Neil Street,7372,Not Specified,{C0B97640-84AF-453C-AE9C-C8E4587AC633},40.11247963217566,-88.24330743507169
9664,Streetname,"24"" X 48""",Not Specified,Traffic Signal Mast Arm,,Streetname,Not Specified,D3-1,Champaign,10491,Not Specified,AERIAL,G,Springfield Avenue,7026,Not Specified,{6ABCCA54-9B0D-466E-AE77-A7425049AF9E},40.112676517909094,-88.24335165461393
9665,Streetname,"8"" X 36""",Not Specified,Punched Telespar,,Streetname,Not Specified,D3-1,Champaign,10492,Not Specified,AERIAL,K,Marshall St,7359,Not Specified,{8BA1E284-9AE4-4391-98AF-446D3CBDBBE1},40.11409581212259,-88.24338261835436
9666,Streetname,"6"" X 30""",Not Specified,Punched Telespar,,Streetname,Not Specified,D3-1,Champaign,10493,Not Specified,AERIAL,K,S Walnut St,7177,Not Specified,{A8179AFA-B410-4D9C-96F6-6EC8496687C8},40.11471731165437,-88.24319860720428
9667,Streetname - Assembly,"6"" X 30""/ 6"" X 30""",Not Specified,Punched Telespar,,Streetname,Not Specified,D3-1,Champaign,10495,Not Specified,GPS,J,Chester St,7032,Not Specified,{BF4F4FD9-78CD-471F-B029-344B25EF038B},40.11571160834564,-88.23958301603653
9668,Streetname - Assembly,"6"" X 30""/ 8"" X 36""",Not Specified,Punched Telespar,,Streetname,Not Specified,D3-1,Champaign,10496,Not Specified,AERIAL,J,E University Ave,7361,Not Specified,{E6617B70-8B32-4A8C-9D32-4EFD2ECFB6C7},40.116232597397484,-88.23936459263894
9669,Streetname,"6"" X 30""",Not Specified,Streetlight,,Streetname,Not Specified,D3-1,Champaign,10498,Not Specified,AERIAL,A,W Washington St,7277,Not Specified,{D48413F3-2B57-47FD-A104-28607AA46557},40.12029524444558,-88.25505912761827
9670,Streetname,"6"" X 30""/ 6"" X 30""",Not Specified,Streetlight,,Streetname,Not Specified,D3-1,Champaign,10499,Not Specified,AERIAL,A,Harris Ave,7280,Not Specified,{97E9F614-5EC7-4D3C-BD56-2F12C5818859},40.12029475104123,-88.25318806012204
9671,Adopt A Highway,"24"" X 36""",Not Specified,Streetlight,,Custom,Champaign Rotary Club #267,AHA,Champaign,10502,Not Specified,AERIAL,C,Not Specified,7374,Not Specified,{C98F58A5-7EB8-4DC3-B2FB-44F6C78D4F7E},40.11199421378947,-88.27686877387552
9672,Adopt A Highway,"24"" X 36""",Not Specified,Punched Telespar,,Custom,Champaign Rotary Club #267,AHA,Champaign,10503,Not Specified,AERIAL,F,Not Specified,7375,Not Specified,{55F7F8BB-0C08-48C0-9B6C-DE0183800E54},40.084449893403516,-88.27622850776888
9673,Do Not Enter,"30"" X 30""",Not Specified,Punched Telespar,,Regulatory,Not Specified,R5-1,Champaign,10507,Not Specified,AERIAL,J,Not Specified,6415,Not Specified,{F8EFFDEB-DDC8-4ADA-AF0E-B4173B112042},40.11429829968584,-88.23701005342554
9674,Keep Right,"18"" X 24""",Not Specified,Punched Telespar,,Regulatory,Not Specified,R4-7,Champaign,10508,Not Specified,AERIAL,C,Not Specified,7376,Not Specified,{0055BCA7-2817-4F20-A057-54C75CB3FE53},40.09823711112507,-88.2725240633977
9675,Keep Right,"24"" X 30""",Not Specified,Punched Telespar,,Regulatory,Not Specified,R4-7,Champaign,10509,Not Specified,AERIAL,C,Not Specified,7377,Not Specified,{C7ED8950-782F-49A9-9A53-82D4D87E8F87},40.09824030972956,-88.27325505471458
