OBJECTID,Pole_Material,Pole_Arm_Type,Luminaire_Type,Lamp_Type,Lamp_Wattage,Controller_ID,Northing,Easting,Pole_Height,InstallDate,FACILITYID,Receptacle,ControllerCircuit,Pole_Color,Pole_Manufacturer,Lamp_Manufacturer,Decorative,Notes,Location_Adjusted,RepairYear,FieldVerifiedDate,GlobalID,Latitude,Longitude
1223,Cast Iron,Other,Globe,IND,55,SL029,1257371.981175,1008779.283,7.0,,2309,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{314A3502-2542-4F9F-94E8-30B9D90F051B},40.11928513437518,-88.24562718439819
1224,Cast Iron,Other,Globe,IND,55,SL029,1257370.14795,1008621.404,7.0,,2310,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{99B70F81-A817-4805-85F9-D4F21F9C5F3C},40.119283369784576,-88.24619716925858
1225,Cast Iron,Other,Globe,IND,55,SL029,1257324.20919999,1008543.653,7.0,,2311,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{7DC251D2-444B-46BC-A636-D6DF289A08A5},40.11914806261218,-88.24646792802643
1226,Concrete,Pipe Arm,Cobra,HPS,150,SL069,1252175.399425,1011590.99505,3.0,,2321,No,Not Specified,Natural,Unknown,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{80E133B4-DB40-4DDC-A29C-17781771274F},40.105011856094144,-88.23559718549862
1227,Concrete,Pipe Arm,Cobra,HPS,150,SL069,1252011.104025,1011013.915125,3.0,,2322,No,Not Specified,Natural,Unknown,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{AF6A01C6-C4CB-4932-BBC2-9C2B377BAA9C},40.10456256891657,-88.23766083031873
1228,Steel,Pipe Arm,Cobra,HPS,100,SL065,1255117.57912499,1013005.55155,3.0,,2323,No,Not Specified,Black,Not Specified,GE,No,Not Specified,GPS,Not Specified,Not Specified,{DD945D40-CC6A-464E-8925-7A5EF8816098},40.11308407858449,-88.23052810470381
1229,Cast Aluminum,Other,Globe,HPS,100,SL060,1256161.08015,1010501.08885,1.0,,2324,Yes,Not Specified,Black,Not Specified,GE,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{996CDC8E-1870-48CE-AD3F-A0EEEF917235},40.11595376456391,-88.23948621103139
1230,Aluminum,Truss Arm,Cobra,HPS,250,SL057,1256874.773175,1010053.821725,,,2325,Yes,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{441FBA1D-53C5-42E2-B8C8-3E5CE70C2B13},40.11791664816734,-88.24107502578154
1231,Aluminum,Combo,Cobra,Other,286(LED),SL057,1256771.4801,1010018.89105,4.0,,2326,Yes,Not Specified,Natural,Not Specified,GE/GE,No,Not Specified,AERIAL,Not Specified,10/12/18,{86007620-F812-4CD5-9DEC-1B59004C897A},40.117637051386176,-88.24119173420145
1232,Aluminum,Davit,Cobra,HPS,250,SL057,1256786.759175,1009812.424475,4.0,,2327,Yes,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,10/12/18,{91AA9C11-3DB9-4DB7-87FA-EB743CE16415},40.11767924368675,-88.24193835718366
1233,Cast Aluminum,Other,Cobra,HPS,250,SL057,1256894.301425,1009822.256,1.0,,2329,Yes,Not Specified,Black,Not Specified,GE,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{D731B007-873B-4753-A822-12EFFB769662},40.11797099865403,-88.24189109440024
1234,Aluminum,Pipe Arm,Cobra,HPS,250,SL057,1256865.623275,1009817.495,,,2330,Yes,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{DC4DF1D0-1EF7-41B3-B50D-6AC68CFE8B38},40.11787594526567,-88.24192566374278
