X,Y,OBJECTID,Pole_Material,Pole_Arm_Type,Luminaire_Type,Lamp_Type,Lamp_Wattage,Controller_ID,Northing,Easting,Pole_Height,InstallDate,FACILITYID,Receptacle,ControllerCircuit,Pole_Color,Pole_Manufacturer,Lamp_Manufacturer,Decorative,Notes,Location_Adjusted,RepairYear,FieldVerifiedDate,GlobalID
-9830586.56175344,4876256.93349841,3692,Cast Aluminum,Other,Cobra,LED,,SL131,1239750.69342,990876.52699,8,2018/01/01 06:00:00+00,9925,No,D,Black,Sternberg,GE,Yes,,GPS,,,{3E5798B1-94FC-4B81-9802-58F806424955}
-9830571.15874113,4876263.84034008,3693,Cast Aluminum,Other,Cobra,LED,,SL131,1239767.99994,990915.24662,8,2018/01/01 06:00:00+00,9926,No,B,Black,Sternberg,GE,Yes,,GPS,,,{7A6AF7C2-4B6B-4CB6-85CD-C4E8CF8FD11D}
-9830571.7122636,4876289.51002126,3694,Cast Aluminum,Other,Teardrop,LED,,SL131,1239832.28118,990913.83804,2,2018/01/01 06:00:00+00,9927,No,B,Black,Sternberg,GE,Yes,,GPS,,,{29772A70-65EB-4ACB-9775-5778C346CAED}
-9830567.41399336,4876364.43773369,3695,Cast Aluminum,Other,Cobra,LED,,SL131,1240019.91637,990924.59384,8,2018/01/01 06:00:00+00,9928,No,B,Black,Sternberg,GE,Yes,,GPS,,,{AA7D6283-4248-44CE-B9CC-7BD3BE614209}
-9830570.51326073,4876393.7217588,3696,Cast Aluminum,Other,Teardrop,LED,,SL131,1240093.24615,990916.78234,2,2018/01/01 06:00:00+00,9929,No,B,Black,Sternberg,GE,Yes,,GPS,,,{EB1D1D7C-DF17-4386-8F0F-23498A6839E0}
-9830566.1362392,4876482.35467389,3697,Cast Aluminum,Other,Cobra,LED,,SL131,1240315.19935,990927.72687,8,2018/01/01 06:00:00+00,9930,No,B,Black,Sternberg,GE,Yes,,GPS,,,{083EDE95-B5DE-4E85-AE67-B01E3CFAF384}
-9830569.12320545,4876507.61863096,3698,Cast Aluminum,Other,Teardrop,LED,,SL131,1240378.46142,990920.20061,2,2018/01/01 06:00:00+00,9931,No,B,Black,Sternberg,GE,Yes,,GPS,,,{8DE03ADC-CA31-454D-826E-D5C0044823BA}
-9830585.45302397,4876547.50617549,3699,Cast Aluminum,Other,Cobra,LED,,SL131,1240478.33419,990879.12069,8,2018/01/01 06:00:00+00,9932,No,B,Black,Sternberg,GE,Yes,,GPS,,,{F18EC1E9-A052-439C-AC23-4C3EAA160FA2}
-9830610.06098919,4876544.30384229,3700,Cast Aluminum,Other,Teardrop,LED,,SL131,1240470.29857,990817.25829,2,2018/01/01 06:00:00+00,9933,No,B,Black,Sternberg,GE,Yes,,GPS,,,{1C201312-905F-4259-8679-73BDE8CEEE02}
-9830704.3200214,4876549.01115743,3701,Cast Aluminum,Other,Cobra,LED,,SL131,1240482.0251,990580.2877,8,2018/01/01 06:00:00+00,9934,No,B,Black,Sternberg,GE,Yes,,GPS,,,{ABA018C8-F8AC-4CF9-8563-56D1796953C9}
-9830734.52516941,4876545.91239508,3702,Cast Aluminum,Other,Teardrop,LED,,SL131,1240474.24618,990504.35365,2,2018/01/01 06:00:00+00,9935,No,B,Black,Sternberg,GE,Yes,,GPS,,,{F56AF283-0F13-42D9-85DC-00910116BF63}
-9830815.75917513,4876549.75732265,3703,Cast Aluminum,Other,Teardrop,LED,,SL131,1240483.82387,990300.12896,2,2018/01/01 06:00:00+00,9936,No,B,Black,Sternberg,GE,Yes,,GPS,,,{A4F56CA5-9EED-455A-B8AA-0F394E66907A}
-9830832.18770855,4876556.88145519,3704,Cast Aluminum,Other,Cobra,LED,,SL131,1240501.6534,990258.82307,8,2018/01/01 06:00:00+00,9937,No,B,Black,Sternberg,GE,Yes,,GPS,,,{5C0CAE9B-BA31-42C7-8E1F-34424ABBD10E}
-9830910.98378966,4876582.6552707,3705,Cast Aluminum,Other,Teardrop,LED,,SL131,1240566.14709,990060.71442,2,2018/01/01 06:00:00+00,9938,No,B,Black,Sternberg,GE,Yes,,GPS,,,{C7D4E339-D7F0-4781-B52B-09F84A30E470}
-9830932.02356753,4876588.93396354,3706,Cast Aluminum,Other,Cobra,LED,,SL131,1240581.85738,990007.81712,8,2018/01/01 06:00:00+00,9939,No,B,Black,Sternberg,GE,Yes,,GPS,,,{9795F704-FB4B-4C19-953F-D214453E29FE}
-9831019.39953314,4876587.17934298,3707,Cast Aluminum,Other,Teardrop,LED,,SL131,1240577.41387,989788.15545,2,2018/01/01 06:00:00+00,9940,No,B,Black,Sternberg,GE,Yes,,GPS,,,{C3C83C44-1EEC-43F2-AD38-91D13147C55C}
-9831033.53286252,4876590.13156807,3708,Cast Aluminum,Other,Cobra,LED,,SL131,1240584.7988,989752.62255,8,2018/01/01 06:00:00+00,9941,No,B,Black,Sternberg,GE,Yes,,GPS,,,{6F8C4AF1-7D9D-49C7-A2BA-58B0091F1933}
-9830992.34108134,4876606.95174196,3709,Cast Aluminum,Other,Cobra,LED,,SL131,1240626.94143,989856.16919,8,2018/01/01 06:00:00+00,9942,No,A,Black,Sternberg,GE,Yes,,GPS,,,{ED78CC00-9B71-4140-98A8-E466B434B16C}
-9830961.44639861,4876609.96926803,3710,Cast Aluminum,Other,Teardrop,LED,,SL131,1240634.51527,989933.83635,2,2018/01/01 06:00:00+00,9943,No,A,Black,Sternberg,GE,Yes,,GPS,,,{B246ED67-5795-449D-8CF4-E826B18A5BB0}
-9830876.83273285,4876593.37299268,3711,Cast Aluminum,Other,Cobra,LED,,SL131,1240593.00583,990146.56389,8,2018/01/01 06:00:00+00,9944,No,A,Black,Sternberg,GE,Yes,,GPS,,,{FAA61342-54D9-4368-9928-24A62E63CA0F}
